"Second Chance Spirits","071420","2880 Lee Rd Ste B","Prosser, WA.  99350-9506","509-303-0646","Second Chance Spirits Incorporated","Brian C Morton (Corporate), Charles Isley (Corporate)",04/20/10
"Dry Fly Distilling","401979","1003 E Trent Ave, Ste 200","Spokane, WA.  99202-2181","509-489-2112","Dry Fly Distilling, Inc","Kent Fleischmann (Corporate) Donald Poffenroth (Corporate)",07/07/08
"Soft Tail Spirits","403109","12280 NE Woodinville Dr","Woodinville, WA  98072-5722","360-856-6948","Soft Tail Spirits, LLC","John Ahlers (LLC Member)  Lynn Ahlers (Spouse)  Dennis Robertson (LLC Member)  Tammy Robertson (Spouse)",10/31/08
"Dukes Hill Distillery","403771","23105 Bassett Rd, Ste B","Sedro Wooley, WA.  98284-8712","425-770-1154","2110, Inc.","Wendy Bardes (Corporate) William Bardes (Corporate) Roberta Nelson (Corporate)",01/06/09
"Ellensburg Distillery","403822","1000 N Prospect St, Unit 3","Ellensburg, WA.  98926-8366","509-968-4415","Ellensburg Distillery LLC","Berle Figgins Jr. (LLC Member) Ralph Bullock Jr. (LLC Member) Debra Borin (Spouse)",10/28/08
"Challenger Ridge","404060","43095 Challenger Rd","Concrete, WA.  98237-9416","425-422-6988","Challenger Ridge LLC","Douglas Spady (LLC Member) Julie Spady (Spouse) Ryan Costanti (LLC Member)  Amy Costanti (Spouse)",10/19/09
"Walla Walla Distilling Company","404236","1105 C St  ","Walla Walla, WA.  99362-7406","509-301-8834","Walla Walla Distilling Company LLC","Jeremy Barker (LLC Member) Katrina Roberts (Spouse)",02/04/10
"Golden Northwest Distillery","404347","9746 Samish Island Rd","Bow, WA.  98232","360-766-6441","Robert Stilnovich","Robert Stilnovich (Sole-Prop), Deborah Nygren (Spouse)",04/02/10
"Free Spirits Distilling","404416","553 N Market Blvd","Chehalis, WA.  98532-2109","360-740-4849","Free Spirits Distilling, LTD","Alexander Watts (Corporate) Balaza Henger (Corporate)",01/04/10
"Skip Rock Distillers","404449","12525 Old Snohomish Monroe Rd","Snohomish, WA.  98290","425-3304885","River Town Distillers, LLC","Ryan Hembree (LLC Member), Julie Hembree (Spouse), David Remlinger (LLC Member), Jaque Remlinger (Spouse)",06/22/10
"Bowman Orchards","404499","1120 W Marina Dr #B","Moses Lake, WA.  98837-2682","406-982-3246","Gerald Delmar Bowman","Gerald Bowman (Sole-Prop) Marilyn Bowman (Spouse)",05/26/09
"Bainbridge Organic Distillers","404539","9727 Coppertop Lp.  NE Ste 101B","Bainbridge Island, WA.  98110-4633","206-855-7900","Free Range Distilling Company, LTD","Keith Barnes (Corporate) Kelly Marinella-Barnes (Corporate)",04/01/09
"Sodo Spirits Distillery","404624","2228 Occidental Ave S","Seattle, WA.  98134-1414","206-399-2645","Kelly Sheehan","Kelly Sheehan (Sole-Prop) Amy Sheehan (Spouse)",07/20/09
"Vin Co.","404794","198 Nickerson St","Seattle, WA.  98109","206-859-9400","Vin Co.","Michael Almquist",12/01/09
"It's 5 O'Clock Somewhere!","404846","215 B Mission Ave","Cashmere, WA.  98815","509-679-9771","It's 5 O'Clock Somewhere! LLC","Colin Levi (LLC Member) Carol Levi (Spouse)",12/07/09
"Sound Spirits","405596","1630 15th Ave W Ste C","Seattle, WA.  98119-2780","206-651-5166","Stone Distillery LLC","Steven Stone (LLC Member) Reina Burnett (Other)",02/10/10
"Rockridge Orchards","405936","41127 212th Ave SE","Enumclaw, WA.  98022-9178","360-825-1962","Rockridge Enterprises, L.L.C.","Judith Bennett (LLC Member), Wade Bennett (LLC Member)",03/09/10
"Sidetrack Distillery","406155","27010 78th Ave S","Kent, WA.  98032-7354","206-963-5079","Blue Dog, LLC","David O'Neal (LLC Member), Larry Person (LLC Member), Linda Person (Spouse)","07/07/10"
"Smith and Sullivan Spirits","406247","9320 15th Ave S Ste CE2","Seattle, WA.  98108-5105","206-979-0838","Smith & Sullivan Spirits, LLC","Anthony Smith (Member), Angelina Merola (Spouse), Kevin Sullivan (Member), Caitlin McNamara (Spouse)",05/26/10
"Black Heron Spirits","406302","8011 Keene Rd","West Richland, WA.  99353","509-643-2295","Black Heron Spirits LLC","Joel Tefft (LLC Member)",07/01/10
"Woodinville Whiskey Company LLC","406396","16110 Woodinville Redmond Rd Ste 3","Woodinville, WA.  98072-6250","206-799-7980","Puget Sound Distilling Company, LLC","Alan Carlile (LLC Member), Shannon Carlile (Spouse), Orlin Sorensen (LLC Member), Carrie Sorensen (Spouse)",06/24/10
